timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302723369,758,Login-page,502,Bad Gateway,CDI-J&J 1-268,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,758,0,684
1643302723345,762,Login-page,502,Bad Gateway,CDI-J&J 1-192,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,761,0,621
1643302723911,214,Login-page,502,Bad Gateway,CDI-J&J 1-340,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,214,0,150
1643302722210,1920,Login-page,502,Bad Gateway,CDI-J&J 1-170,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1920,0,1812
1643302723525,605,Login-page,502,Bad Gateway,CDI-J&J 1-300,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,605,0,537
1643302723355,770,Login-page,502,Bad Gateway,CDI-J&J 1-258,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,770,0,699
1643302721741,2390,Login-page,502,Bad Gateway,CDI-J&J 1-123,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2390,0,2282
1643302723657,467,Login-page,502,Bad Gateway,CDI-J&J 1-305,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,467,0,396
1643302723613,514,Login-page,502,Bad Gateway,CDI-J&J 1-299,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,514,0,409
1643302722260,1865,Login-page,502,Bad Gateway,CDI-J&J 1-175,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,1865,0,1761
1643302722820,1304,Login-page,502,Bad Gateway,CDI-J&J 1-220,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,1304,0,1234
1643302721240,2885,Login-page,502,Bad Gateway,CDI-J&J 1-73,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2885,0,2813
1643302721119,3011,Login-page,502,Bad Gateway,CDI-J&J 1-61,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3011,0,2918
1643302720900,3230,Login-page,502,Bad Gateway,CDI-J&J 1-39,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3230,0,3121
1643302723412,711,Login-page,502,Bad Gateway,CDI-J&J 1-288,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,711,0,640
1643302721980,2145,Login-page,502,Bad Gateway,CDI-J&J 1-147,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2145,0,2041
1643302722351,1778,Login-page,502,Bad Gateway,CDI-J&J 1-184,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1778,0,1711
1643302721893,2230,Login-page,502,Bad Gateway,CDI-J&J 1-138,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2230,0,2128
1643302722833,1297,Login-page,502,Bad Gateway,CDI-J&J 1-224,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1297,0,1229
1643302721949,2176,Login-page,502,Bad Gateway,CDI-J&J 1-144,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2176,0,2072
1643302723408,714,Login-page,502,Bad Gateway,CDI-J&J 1-279,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,714,0,642
1643302720919,3208,Login-page,502,Bad Gateway,CDI-J&J 1-41,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3208,0,3133
1643302723345,782,Login-page,502,Bad Gateway,CDI-J&J 1-203,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,782,0,709
1643302720690,3427,Login-page,502,Bad Gateway,CDI-J&J 1-18,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3427,0,3343
1643302721400,2722,Login-page,502,Bad Gateway,CDI-J&J 1-89,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2722,0,2637
1643302721760,2370,Login-page,502,Bad Gateway,CDI-J&J 1-125,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2370,0,2263
1643302721649,2481,Login-page,502,Bad Gateway,CDI-J&J 1-114,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2481,0,2413
1643302723717,390,Login-page,502,Bad Gateway,CDI-J&J 1-320,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,389,0,250
1643302721730,2399,Login-page,502,Bad Gateway,CDI-J&J 1-122,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2399,0,2292
1643302723080,1027,Login-page,502,Bad Gateway,CDI-J&J 1-237,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1026,0,887
1643302722242,1887,Login-page,502,Bad Gateway,CDI-J&J 1-173,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1887,0,1780
1643302720780,3350,Login-page,502,Bad Gateway,CDI-J&J 1-27,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3350,0,3282
1643302723371,756,Login-page,502,Bad Gateway,CDI-J&J 1-269,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,756,0,682
1643302722857,1270,Login-page,502,Bad Gateway,CDI-J&J 1-229,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1270,0,1197
1643302722574,1556,Login-page,502,Bad Gateway,CDI-J&J 1-193,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1556,0,1486
1643302723359,770,Login-page,502,Bad Gateway,CDI-J&J 1-248,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,770,0,663
1643302723647,473,Login-page,502,Bad Gateway,CDI-J&J 1-313,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,473,0,399
1643302721580,2542,Login-page,502,Bad Gateway,CDI-J&J 1-107,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2542,0,2473
1643302722858,1249,Login-page,502,Bad Gateway,CDI-J&J 1-219,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1247,0,1115
1643302721200,2922,Login-page,502,Bad Gateway,CDI-J&J 1-69,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2922,0,2852
1643302723810,297,Login-page,502,Bad Gateway,CDI-J&J 1-329,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,290,0,156
1643302720681,3449,Login-page,502,Bad Gateway,CDI-J&J 1-8,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3449,0,3380
1643302723691,436,Login-page,502,Bad Gateway,CDI-J&J 1-317,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,435,0,332
1643302721379,2743,Login-page,502,Bad Gateway,CDI-J&J 1-87,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2743,0,2659
1643302721959,2171,Login-page,502,Bad Gateway,CDI-J&J 1-145,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2171,0,2070
1643302723192,928,Login-page,502,Bad Gateway,CDI-J&J 1-239,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,928,0,854
1643302720842,3266,Login-page,502,Bad Gateway,CDI-J&J 1-33,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3265,0,3125
1643302723424,693,Login-page,502,Bad Gateway,CDI-J&J 1-271,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,693,0,621
1643302723910,335,Login-page,502,Bad Gateway,CDI-J&J 1-336,text,false,,300,132,373,373,https://staging.jnjonc2022.com/login,335,0,273
1643302723077,1030,Login-page,502,Bad Gateway,CDI-J&J 1-236,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1030,0,890
1643302721510,2597,Login-page,502,Bad Gateway,CDI-J&J 1-100,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2597,0,2501
1643302721159,2968,Login-page,502,Bad Gateway,CDI-J&J 1-65,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2967,0,2862
1643302723143,988,Login-page,502,Bad Gateway,CDI-J&J 1-226,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,988,0,919
1643302723496,611,Login-page,502,Bad Gateway,CDI-J&J 1-294,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,609,0,527
1643302723663,444,Login-page,502,Bad Gateway,CDI-J&J 1-304,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,439,0,310
1643302721481,2627,Login-page,502,Bad Gateway,CDI-J&J 1-97,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2626,0,2528
1643302723522,595,Login-page,502,Bad Gateway,CDI-J&J 1-297,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,595,0,512
1643302721129,2988,Login-page,502,Bad Gateway,CDI-J&J 1-62,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2988,0,2905
1643302720800,3324,Login-page,502,Bad Gateway,CDI-J&J 1-29,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3324,0,3215
1643302723361,746,Login-page,502,Bad Gateway,CDI-J&J 1-196,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,746,0,605
1643302723407,700,Login-page,502,Bad Gateway,CDI-J&J 1-278,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,695,0,614
1643302722170,1962,Login-page,502,Bad Gateway,CDI-J&J 1-166,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1962,0,1891
1643302720682,3425,Login-page,502,Bad Gateway,CDI-J&J 1-12,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3423,0,3341
1643302723741,399,Login-page,502,Bad Gateway,CDI-J&J 1-322,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,399,0,340
1643302723375,732,Login-page,502,Bad Gateway,CDI-J&J 1-281,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,725,0,647
1643302723254,869,Login-page,502,Bad Gateway,CDI-J&J 1-209,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,869,0,792
1643302721942,2198,Login-page,502,Bad Gateway,CDI-J&J 1-143,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2198,0,2140
1643302722864,1243,Login-page,502,Bad Gateway,CDI-J&J 1-190,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1236,0,1103
1643302722850,1257,Login-page,502,Bad Gateway,CDI-J&J 1-188,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1255,0,1118
1643302722219,1913,Login-page,502,Bad Gateway,CDI-J&J 1-171,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1913,0,1804
1643302723343,784,Login-page,502,Bad Gateway,CDI-J&J 1-202,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,784,0,710
1643302723623,501,Login-page,502,Bad Gateway,CDI-J&J 1-311,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,501,0,430
1643302720681,3444,Login-page,502,Bad Gateway,CDI-J&J 1-1,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3444,0,3339
1643302723690,436,Login-page,502,Bad Gateway,CDI-J&J 1-316,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,436,0,332
1643302721930,2210,Login-page,502,Bad Gateway,CDI-J&J 1-142,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2210,0,2151
1643302721791,2329,Login-page,502,Bad Gateway,CDI-J&J 1-128,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2329,0,2255
1643302720760,3358,Login-page,502,Bad Gateway,CDI-J&J 1-25,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3358,0,3274
1643302723381,747,Login-page,502,Bad Gateway,CDI-J&J 1-262,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,747,0,672
1643302721880,2250,Login-page,502,Bad Gateway,CDI-J&J 1-137,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2250,0,2154
1643302721913,2233,Login-page,502,Bad Gateway,CDI-J&J 1-140,text,false,,300,132,363,363,https://staging.jnjonc2022.com/login,2233,0,2172
1643302723405,715,Login-page,502,Bad Gateway,CDI-J&J 1-275,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,715,0,629
